Week,California,Mexico,Chile,Dominican Republic,New Zealand,Peru,Total Volume in Pounds
Jan-05-2014,6300,21022833,3199846,0,0,0,24228979
Jan-12-2014,24300,40784614,3999418,50000,0,0,44858332
Jan-19-2014,862425,43718867,3298558,40000,0,0,47919850
Jan-26-2014,1877475,34312383,2967283,40000,0,0,39197141
Feb-02-2014,1971675,22354803,3217241,260000,0,0,27803719
Feb-09-2014,528075,20521795,5361373,60000,0,0,26471243
Feb-16-2014,1158075,27765635,5395502,20000,0,0,34339212
Feb-23-2014,1721283,31942479,5427564,10000,0,0,39101326
Mar-02-2014,1609176,30893938,5128247,0,0,0,37631361
Mar-09-2014,4672324,28459935,4648342,0,0,0,37780601
Mar-16-2014,4537593,29333706,4223654,0,0,0,38094953
Mar-23-2014,6516278,24646502,3514735,10000,0,0,34687515
Mar-30-2014,6389959,24663515,3119128,0,0,0,34172602
Apr-06-2014,6920085,24729449,3599767,0,0,0,35249301
Apr-13-2014,9675813,27511676,2783539,0,0,0,39971028
Apr-20-2014,8262367,17914352,2532733,0,0,0,28709452
Apr-27-2014,13460568,25612457,2575685,0,0,0,41648710
May-04-2014,13534799,18199360,1976756,40000,0,141926,33892841
May-11-2014,13578096,18237508,1760849,90000,0,2365440,36031893
May-18-2014,14079102,20201152,601168,80000,0,3302154,38263576
May-25-2014,15875153,21975454,325800,40000,0,4257792,42474199
Jun-01-2014,15150629,23161475,274380,80000,0,7900570,46567054
Jun-08-2014,14051440,22409912,328254,80000,0,8161715,45031321
Jun-15-2014,13108286,19229849,0,0,0,10407935,42746070
Jun-22-2014,12764271,20139712,48254,0,0,10171092,43123329
Jun-29-2014,11999972,15672572,0,40000,0,13517070,41229614
Jul-06-2014,8850057,13641739,0,80000,0,13293773,35865569
Jul-13-2014,10700675,13469926,0,40000,0,12347597,36558198
Jul-20-2014,10703093,13963723,0,0,0,13494138,38160954
Jul-27-2014,10869892,19184181,0,0,0,9311791,39365864
Aug-03-2014,8891817,14301058,0,40000,0,7891582,31124457
Aug-10-2014,7335956,16087059,0,0,0,7947878,31370893
Aug-17-2014,6701360,18721092,0,0,0,6244761,31667213
Aug-24-2014,5919506,18047380,753909,0,0,5440512,30161307
Aug-31-2014,5664271,19354247,941618,0,0,3358924,29319060
Sep-07-2014,4028463,25508984,619753,0,0,1939661,32096861
Sep-14-2014,3625537,31703239,838449,0,0,1750426,37917651
Sep-21-2014,2038790,29249555,1633759,40000,0,615014,33577118
Sep-28-2014,1501577,35647310,1685608,80000,140000,236544,39291039
Oct-05-2014,749834,29629890,2190348,0,790000,0,33360072
Oct-12-2014,412807,28027936,2189102,40000,270000,0,30939845
Oct-19-2014,83054,33218420,1546941,0,570000,0,35418415
Oct-26-2014,0,37690569,1143921,80000,360000,0,39274490
Nov-02-2014,0,34235614,668880,210000,1020000,0,36134494
Nov-09-2014,0,30934553,716449,200000,190000,0,32041002
Nov-16-2014,0,30937801,641080,170000,1020000,0,32768881
Nov-23-2014,0,30760724,495364,90000,680000,0,32026088
Nov-30-2014,0,30278673,314118,130000,350000,0,31072791
Dec-07-2014,0,31964745,499067,80000,360000,0,32903812
Dec-14-2014,11835,32466787,634576,170000,130000,0,33413198
Dec-21-2014,22180,32003204,633893,210000,580000,0,33449277
Dec-28-2014,52850,24420199,821575,90000,140000,0,25524624
Jan-04-2015,247134,20370522,2608042,n/a,0,0,23225698
Jan-11-2015,560105,46813392,2369945,n/a,0,0,49743442
Jan-18-2015,1802703,52768179,2369945,n/a,0,0,56940827
Jan-25-2015,2516058,42838905,2608042,n/a,0,0,47963005
Feb-01-2015,2288131,27838629,1940048,n/a,0,0,32066808
Feb-08-2015,1364938,24795482,1455036,n/a,0,0,27615456
Feb-15-2015,2172424,34831700,727518,n/a,0,0,37731642
Feb-22-2015,3238141,36316311,231483,n/a,0,0,39785935
Mar-01-2015,3243479,35745849,231483,n/a,0,0,39220811
Mar-08-2015,4854789,33278333,231483,n/a,0,0,38364605
Mar-15-2015,6293017,35398433,231483,n/a,0,0,41922933
Mar-22-2015,6617644,28695197,231483,n/a,0,0,35544324
Mar-29-2015,7270052,23538495,97002,n/a,0,0,30905549
Apr-05-2015,10199597,31706121,97002,n/a,0,0,42002720
Apr-12-2015,12133746,29704727,0,n/a,0,0,41838473
