Date,Actual Average Daily Temperature (Degrees Farenheit),30 Year Normal Average Daily Temperature (Degrees Farenheit)
1/1/2014,58.03,57.79
1/2/2014,58.63,57.76
1/3/2014,59,57.76
1/4/2014,56.83,57.75
1/5/2014,57.42,57.74
1/6/2014,58.55,57.73
1/7/2014,58.4,57.69
1/8/2014,56.67,57.66
1/9/2014,57.95,57.57
1/10/2014,57.13,57.5
1/11/2014,59.67,57.42
1/12/2014,60.5,57.36
1/13/2014,60.8,57.24
1/14/2014,58.85,57.28
1/15/2014,60.28,57.33
1/16/2014,57.05,57.4
1/17/2014,58.4,57.48
1/18/2014,58.1,57.56
1/19/2014,59.9,57.64
1/20/2014,58.92,57.67
1/21/2014,63.72,57.72
1/22/2014,59.83,57.79
1/23/2014,59.38,57.83
1/24/2014,62,57.9
1/25/2014,60.95,57.95
1/26/2014,60.05,58.01
1/27/2014,60.05,58.1
1/28/2014,59,58.24
1/29/2014,56.3,58.31
1/30/2014,56.38,58.42
1/31/2014,57.95,58.46
2/1/2014,59.9,58.54
2/2/2014,58.85,58.6
2/3/2014,59.38,58.65
2/4/2014,57.58,58.76
2/5/2014,58.33,58.83
2/6/2014,58.55,58.94
2/7/2014,59.22,59.01
2/8/2014,61.55,59.11
2/9/2014,61.85,59.21
2/10/2014,60.5,59.38
2/11/2014,59.75,59.46
2/12/2014,61.1,59.54
2/13/2014,59.97,59.64
2/14/2014,60.2,59.67
2/15/2014,61.63,59.76
2/16/2014,61.78,59.78
2/17/2014,61.7,59.82
2/18/2014,60.95,59.87
2/19/2014,61.03,59.93
2/20/2014,59.9,59.96
2/21/2014,62.53,60.01
2/22/2014,60.42,60.13
2/23/2014,61.4,60.25
2/24/2014,61.33,60.33
2/25/2014,62.6,60.32
2/26/2014,62.6,60.34
2/27/2014,61.7,60.38
2/28/2014,59.83,60.47
3/1/2014,61.33,60.66
3/2/2014,62.22,60.78
3/3/2014,62.15,60.85
3/4/2014,59.67,60.86
3/5/2014,58.47,60.91
3/6/2014,59.67,60.98
3/7/2014,58.78,61.03
3/8/2014,59,60.98
3/9/2014,59.38,60.96
3/10/2014,59.45,60.98
3/11/2014,59,61.07
3/12/2014,58.92,61.18
3/13/2014,61.47,61.3
3/14/2014,60.8,61.36
3/15/2014,62.38,61.43
3/16/2014,60.28,61.49
3/17/2014,58.33,61.56
3/18/2014,58.4,61.69
3/19/2014,62.08,61.86
3/20/2014,64.7,61.98
3/21/2014,65.53,62.06
3/22/2014,65.75,62.12
3/23/2014,68.38,62.24
3/24/2014,66.43,62.38
3/25/2014,65.15,62.54
3/26/2014,63.58,62.69
3/27/2014,62.67,62.82
3/28/2014,63.05,62.94
3/29/2014,65.82,63.08
3/30/2014,65.6,63.25
3/31/2014,65.75,63.46
4/1/2014,66.13,63.67
4/2/2014,65.97,63.83
4/3/2014,64.93,63.99
4/4/2014,66.5,64.17
4/5/2014,65.3,64.39
4/6/2014,64.71,64.64
4/7/2014,63.65,64.87
4/8/2014,69.8,65.05
4/9/2014,67.32,65.2
4/10/2014,68.53,65.36
4/11/2014,66.72,65.53
