Date,CALAVO GROWERS INC##,Fresh Del Monte Produce Inc. Common Stock,Chipotle Mexican Grill Inc. Common Stock,Sysco Corporation Common Stock
1/15/2019,78.4067,30.1000,514.0100,62.7200
1/14/2019,77.5700,30.2300,501.9900,62.9500
1/11/2019,78.1900,30.7700,506.9500,63.0400
1/10/2019,78.7000,30.8000,509.6200,63.2600
1/9/2019,78.9600,30.3900,498.4800,62.4800
1/8/2019,79.2800,29.9200,497.3700,62.7800
1/7/2019,76.0000,29.8500,485.1500,61.8000
1/4/2019,74.2300,29.4600,455.0000,61.8500
1/3/2019,73.2500,29.3600,439.4500,61.3700
1/2/2019,71.5600,28.3200,443.3600,62.0500
1/1/2019,,,,
12/31/2018,72.9600,28.2700,431.7900,62.6600
12/28/2018,73.1200,28.1800,424.1900,62.2800
12/27/2018,72.6000,28.1900,414.5500,62.0500
12/26/2018,72.7500,28.6000,405.7200,61.2300
12/25/2018,71.6600,28.1700,395.7800,60.5900
12/24/2018,70.5700,27.7400,385.8400,59.9500
12/21/2018,72.1500,27.3200,394.4200,60.8900
12/20/2018,72.0100,29.4300,400.7700,61.8200
12/19/2018,81.4900,29.8700,427.0500,63.4900
12/18/2018,84.7300,30.7700,443.8000,64.0200
12/17/2018,84.6800,32.1500,443.5000,64.2100
12/14/2018,85.6700,32.5000,457.8300,65.4500
12/13/2018,90.9800,33.3100,472.7300,65.9800
12/12/2018,89.8200,33.0900,471.3100,65.5500
12/11/2018,90.9700,32.3800,472.3500,65.3000
12/10/2018,89.2700,32.0000,475.1500,64.9000
12/7/2018,92.2600,32.1900,467.4300,65.0200
12/6/2018,94.8600,31.9700,469.9400,65.9400
12/5/2018,95.4950,31.8300,469.1450,66.0350
12/4/2018,96.1300,31.6900,468.3500,66.1300
12/3/2018,96.9700,33.0500,475.3800,67.0400
11/30/2018,98.2800,33.6500,473.2100,67.4000
11/29/2018,99.0100,33.1700,482.5600,67.5400
11/28/2018,98.7500,33.0200,490.5200,66.8500
11/27/2018,97.5500,30.6100,473.4500,65.3200
11/26/2018,98.2800,30.4200,466.0200,64.9000
11/23/2018,97.8000,30.3300,471.4200,64.9000
11/22/2018,97.1850,30.5300,471.3400,64.6900
11/21/2018,96.5700,30.7300,471.2600,64.4800
11/20/2018,96.5000,30.4000,461.6300,65.0900
11/19/2018,96.2200,29.7300,465.8700,66.0200
11/16/2018,96.9200,30.3200,472.7600,66.3900
11/15/2018,96.6800,30.6000,472.3000,66.2200
11/14/2018,97.7900,30.7600,479.3200,66.4700
11/13/2018,97.9700,31.4800,484.8200,66.8600
11/12/2018,97.9600,31.7600,489.6700,67.3700
11/9/2018,99.2400,31.9200,490.7600,66.8100
11/8/2018,99.0100,32.4700,478.3000,66.5600
11/7/2018,99.9000,32.6200,477.4900,66.4500
11/6/2018,99.7300,33.1800,474.1500,64.4500
11/5/2018,99.2500,32.7800,469.6500,64.5600
11/2/2018,98.5100,32.8800,476.3900,71.2900
11/1/2018,97.8500,33.5900,472.6200,71.7900
10/31/2018,97.0000,33.0300,460.3300,71.3300
10/30/2018,99.7100,31.5900,461.7700,72.0100
10/29/2018,100.3200,32.0800,440.8700,70.3200
